"hpl_id";"AllaLinjer"
"760046";"510_511_832"
"760047";"511"
"760048";"510_511_531_835"
"760049";"511_531"
"760050";"511_531"
"760051";"510_835"
"760054";"517_Upptåget Gävle"
"760055";"524"
"760058";"522"
"760060";"514_532_539"
"760061";"533_534_535"
"760062";"510_835"
"760063";"524"
"760064";"524"
"760065";"524"
"760066";"524"
"760067";"524"
"760068";"524"
"760069";"524"
"760070";"513_821"
"760071";"513_821"
"760072";"517"
"760073";"517"
"760074";"517"
"760075";"514_524_817"
"760076";"514"
"760086";"510_835"
"760091";"514"
"760093";"535"
"760094";"533_534"
"760095";"533_534"
"760097";"514"
"760098";"522"
"760099";"514"
"760101";"522"
"760102";"103"
"760103";"514"
"760104";"103_539"
"760105";"514"
"760107";"514_539"
"760108";"103_539"
"760109";"514_539"
"760110";"103_539"
"760111";"103_514_532_539"
"760112";"514_532_539"
"760114";"514_532_539"
"760115";"514_532_539"
"760116";"521"
"760117";"514_532_539"
"760118";"521"
"760119";"514_532_539"
"760120";"521"
"760121";"521"
"760122";"515_521"
"760123";"521"
"760124";"514_532"
"760125";"521"
"760126";"514_532"
"760127";"514_532"
"760128";"521"
"760129";"511"
"760132";"514_532"
"760134";"513_530"
"760135";"821"
"760136";"513_530"
"760137";"513"
"760138";"514_532"
"760139";"513_530"
"760140";"821"
"760141";"821"
"760142";"513_530"
"760143";"821"
"760144";"817"
"760146";"532_817"
"760147";"821"
"760148";"514"
"760149";"532_817"
"760152";"532_817"
"760153";"513_821"
"760155";"524_532_817"
"760157";"517"
"760158";"532_817"
"760159";"517"
"760160";"524_532_817"
"760161";"513_821"
"760162";"524"
"760163";"517"
"760164";"524"
"760166";"513_533_534_821"
"760167";"517"
"760169";"513_821"
"760171";"517"
"760173";"534"
"760174";"517"
"760175";"524"
"760176";"534"
"760177";"534"
"760178";"534"
"760179";"513_821"
"760180";"534"
"760181";"517"
"760182";"534"
"760183";"534"
"760184";"534"
"760186";"524"
"760187";"517"
"760189";"513_821"
"760191";"515"
"760192";"510_832"
"760193";"515"
"760194";"515"
"760195";"515_521"
"760196";"515_521"
"760199";"515"
"760200";"515_521"
"760201";"515"
"760204";"515"
"760205";"515"
"760206";"515"
"760209";"510_832"
"760210";"513_534_821"
"760212";"510_511_832"
"760214";"522"
"760215";"511"
"760217";"510_511_832"
"760218";"510_511_832"
"760219";"510_511_832"
"760222";"517"
"760223";"515"
"760224";"515"
"760225";"513_821"
"760226";"510_511_832"
"760227";"515"
"760228";"524"
"760230";"515"
"760231";"517"
"760232";"510_511_832"
"760233";"511"
"760234";"511"
"760235";"510_511_832"
"760236";"513_533_821"
"760237";"513_821"
"760238";"515"
"760239";"515"
"760240";"510_511_832"
"760241";"511"
"760242";"513_821"
"760243";"535"
"760244";"535"
"760245";"522"
"760246";"510_511_832"
"760247";"535"
"760249";"535"
"760250";"522"
"760252";"524"
"760253";"515"
"760254";"515"
"760255";"522"
"760257";"511"
"760258";"515_522"
"760259";"522"
"760260";"515"
"760261";"515_522"
"760262";"522"
"760264";"513_821"
"760265";"535"
"760266";"535"
"760267";"510_531_835"
"760268";"510_531_835"
"760269";"515_524_832_835"
"760270";"510_531_835"
"760271";"524"
"760272";"510_531_835"
"760273";"511"
"760274";"515_524_832_835"
"760275";"535"
"760276";"524"
"760277";"518"
"760278";"510_531_835"
"760279";"535"
"760280";"510_511_531_835"
"760281";"Upptåget Gävle"
"760282";"518"
"760283";"518"
"760284";"515_524_832_835"
"760285";"535"
"760286";"510_511_531_835"
"760287";"518"
"760288";"524"
"760289";"510_511_531_835"
"760290";"524"
"760294";"524"
"760295";"510_511_531_835"
"760299";"515_835"
"760302";"513_821"
"760307";"524"
"760308";"511_531"
"760309";"518"
"760310";"517"
"760311";"832"
"760312";"510_511_531_835"
"760313";"835"
"760314";"517"
"760315";"524"
"760316";"531"
"760319";"524"
"760321";"518"
"760322";"832_835"
"760326";"535"
"760327";"513_821"
"760329";"518"
"760330";"518"
"760331";"510_511_531_835"
"760333";"516"
"760334";"517"
"760335";"516"
"760340";"535"
"760341";"516"
"760344";"524"
"760345";"516"
"760346";"524"
"760349";"535"
"760350";"516"
"760351";"513_517_533_821"
"760352";"510_511_531"
"760353";"524"
"760355";"535"
"760357";"513_517_821"
"760358";"510_511_531_835"
"760359";"524"
"760361";"513_517_821"
"760362";"510_517_821"
"760364";"524"
"760366";"516"
"760367";"518"
"760368";"535"
"760369";"510_511_531_835"
"760370";"513_518_835"
"760372";"516"
"760373";"524"
"760374";"510_835"
"760375";"516_535"
"760376";"516"
"760378";"516"
"760380";"535"
"760381";"516_535"
"760382";"511_516_518_531"
"760386";"524"
"760387";"516_518"
"760388";"515"
"760390";"522"
"760391";"518"
"760395";"952"
"760396";"513_835"
"760397";"521"
"760398";"535"
"760399";"535"
"760400";"516_517_518_534_535_821"
"760401";"535"
"760404";"530"
"760405";"513_530"
"760410";"532"
"760411";"510_511_832"
"760412";"510_511_515_521_522_524_531_832_835"
"760416";"516"
"760417";"515_835"
"760418";"521"
"760422";"539"
"760423";"539"
"760424";"532"
"760425";"532"
"760428";"514"
"760430";"516"
"760432";"516_518"
"760433";"952"
"760436";"530"
"760437";"513"
"760438";"521"
"760439";"533_534"
"760605";"532"
"760606";"532"
"760607";"522"
"760608";"532"
"760609";"532"
"760610";"521"
"760611";"524"
"760613";"535"
"760625";"532"
"760630";"531"
"760633";"535"
"760634";"532"
"760637";"522"
"760644";"530"
"760645";"521"
"760703";"533_534"
"760704";"533_534"
"760705";"513_530"
"760706";"532"
"760707";"511"
